效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
103036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,,
103037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,,
103038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,
103039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,,
103040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,
103041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845,,
103042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,,
103043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,,
103044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,
103045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,
103046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,,
103047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,,
103048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,,
103049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,,
103050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,
103051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,,
103052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,,
103053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,,
103054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,,
103055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,,
103056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,
103057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,,
103058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,,
103059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,,
103060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,
103061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,,
103062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,
103063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835,,
103064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,,
103065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,,
103066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,
103067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,,
103068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,,
103069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105,,
103070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,,
103071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,,
103072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,,
103073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,,
103074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,,
103075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375,,
103076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,,
103077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,,
103078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,,
103079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,,
103080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,
103081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,,
103082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3690,,
103083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735,,
103084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3780,,
103085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,,
103086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,,
103087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915,,
103088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,,
103089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,,
103090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,,
103091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,,
103092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,,
103093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,,
103094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230,,
103095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,,
103096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,
103097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365,,
103098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,,
103099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455,,
103100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,
104001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
104002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
104003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
104004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
104005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
104006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
104007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
104008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
104009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
104010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
104011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
104012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
104013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
104014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
104015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
104016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
104017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
104018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
104019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
104020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
104021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
104023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
104024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
104025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
104026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
104027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
104028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
104029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
104030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
104031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
104032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160
104033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
104034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
104035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
104036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180
104037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
104039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
104040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
104041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
104042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210
104043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
104044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
104045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
104047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235
104048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240
104049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245
104050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
104051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255
104052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
104053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265
104054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
104055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275
104056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
104057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
104058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
104059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
104060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
104061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305
104062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310
104063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315
104064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320
104065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325
104066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330
104067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335
104068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340
104069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345
104070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350
104071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355
104072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
104073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365
104074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370
104075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375
104076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380
104077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385
104078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390
104079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395
104080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
104081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405
104082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
104083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415
104084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420
104085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425
104086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430
104087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435
104088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
104089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445
104090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
104091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455
104092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460
104093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465
104094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470
104095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475
104096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480
104097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485
104098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490
104099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495
104100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
105001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
105002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,
105003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
105004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,
105005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,
105006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,
105007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,
105008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,
105009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,
105010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,
105011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,
105012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,
105013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,
105014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,
105015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,
105016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,
105017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,
105018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,
105019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,
105020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,
105021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,
105022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,
105023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,
105024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,
105025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,
105026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,
105027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,
105028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,
105029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,,,,,
105030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,
105031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,,,,,
105032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,
105033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,
105034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,,,
105035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,
105036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,
105037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,,,,,
105038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,,,,,
105039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,,,,,
105040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,
105041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,,,,,
105042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,,,,,
105043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,
105044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,
105045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,
105046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,,,,,
105047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,
105048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,,,,
105049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,,
105050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,
105051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,,,,,
105052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,,,,,
105053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,,,,,
105054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,
105055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,
105056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600,,,,,
105057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,
105058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,,,,,
105059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,,,,,
105060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,
105061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100,,,,,
105062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,,,,,
105063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,,,,,
105064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,
105065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,
105066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,,,,,
105067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700,,,,,
105068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,,,,,
105069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,,,,,
105070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,
105071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100,,,,,
105072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,,,,,
105073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,,
105074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,,,,,
105075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,
105076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,,,,,
105077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700,,,,,
105078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800,,,,,
105079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,,,,,
105080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,
105081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,,,,,
105082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200,,,,,
105083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300,,,,,
105084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,,,,,
105085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,,,
105086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600,,,,,
105087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700,,,,,
105088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,
105089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900,,,,,
105090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,
105091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9100,,,,,
105092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200,,,,,
105093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9300,,,,,
105094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,,,,,
105095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,,,,,
105096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,,,,,
105097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9700,,,,,
105098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800,,,,,
105099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9900,,,,,
105100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,
200001,200001~300000是装备附魔,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,
200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,
200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,
200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,
200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,
200007,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,,,,,,,
200008,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,
200009,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,
200010,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,
200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,
200013,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,
200014,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,,
200015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,
200016,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,
200017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,
200018,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,,,
200019,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,,,
200020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
200021,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,
200022,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,,,,
200023,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,
200024,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,
200025,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
200026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,,,,,
200027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,
200028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,
200029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,
200030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
200031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,,
200032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,
200033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,,,
200034,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,
200035,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,
200036,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,,,,,,,,
200037,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,
200038,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,,,,,,,,
200039,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,
200040,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
200041,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,,,,,,,,,
200042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,,,,,,,,
200043,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,,,,,,,,,
200044,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,,,,,,,
200045,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,
200046,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,,,
200047,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,
200048,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,,,,,,,,,
200049,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,,,,,,,,
200050,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
200051,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,,,,,,,,,
200052,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,
200053,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,,,,,,,,,
200054,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,
200055,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,
200056,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,
200057,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,,,,,,,,,
200058,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,
200059,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,
200060,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,
200061,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,
200062,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,
