道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
601496,青藤蛇碎片,集齐足够数量，就可以在图鉴中兑换青藤蛇,,2,,16,0,4,35;90,,,1496,,,,,,,,,,,,,,,,,,
601499,炒炒猪碎片,集齐足够数量，就可以在图鉴中兑换炒炒猪,,2,,16,0,4,35;90,,,1499,,,,,,,,,,,,,,,,,,
601502,双刃丸碎片,集齐足够数量，就可以在图鉴中兑换双刃丸,,2,,16,0,4,35;90,,,1502,,,,,,,,,,,,,,,,,,
601562,哭哭面具碎片,集齐足够数量，就可以在图鉴中兑换哭哭面具,,2,,16,0,4,35;90,,,1562,,,,,,,,,,,,,,,,,,
601611,斧牙龙碎片,集齐足够数量，就可以在图鉴中兑换斧牙龙,,2,,16,0,4,35;90,,,1611,,,,,,,,,,,,,,,,,,
601621,赤面龙碎片,集齐足够数量，就可以在图鉴中兑换赤面龙,,2,,16,0,4,35;90,,,1621,,,,,,,,,,,,,,,,,,
601622,泥偶小人碎片,集齐足够数量，就可以在图鉴中兑换泥偶小人,,2,,16,0,4,35;90,,,1622,,,,,,,,,,,,,,,,,,
601634,双首暴龙碎片,集齐足够数量，就可以在图鉴中兑换双首暴龙,,2,,16,0,4,35;90,,,1634,,,,,,,,,,,,,,,,,,
601651,胖胖哈力碎片,集齐足够数量，就可以在图鉴中兑换胖胖哈力,,2,,16,0,4,35;90,,,1651,,,,,,,,,,,,,,,,,,
601654,长尾火狐碎片,集齐足够数量，就可以在图鉴中兑换长尾火狐,,2,,16,0,4,35;90,,,1654,,,,,,,,,,,,,,,,,,
601657,呱头蛙碎片,集齐足够数量，就可以在图鉴中兑换呱头蛙,,2,,16,0,4,35;90,,,1657,,,,,,,,,,,,,,,,,,
601221,长毛猪碎片,集齐足够数量，就可以在图鉴中兑换长毛猪,,2,,16,0,4,35;90,,,1221,,,,,,,,,,,,,,,,,,
601241,大奶罐碎片,集齐足够数量，就可以在图鉴中兑换大奶罐,,2,,16,0,4,35;90,,,1241,,,,,,,,,,,,,,,,,,
601329,超音波幼虫碎片,集齐足够数量，就可以在图鉴中兑换超音波幼虫,,2,,16,0,4,35;90,,,1329,,,,,,,,,,,,,,,,,,
601344,念力土偶碎片,集齐足够数量，就可以在图鉴中兑换念力土偶,,2,,16,0,4,35;90,,,1344,,,,,,,,,,,,,,,,,,
601345,触手百合碎片,集齐足够数量，就可以在图鉴中兑换触手百合,,2,,16,0,4,35;90,,,1345,,,,,,,,,,,,,,,,,,
601348,太古盔甲碎片,集齐足够数量，就可以在图鉴中兑换太古盔甲,,3,,16,0,4,35;90,,,1348,,,,,,,,,,,,,,,,,,
601364,海魔狮碎片,集齐足够数量，就可以在图鉴中兑换海魔狮,,2,,16,0,4,35;90,,,1364,,,,,,,,,,,,,,,,,,
601536,蓝蟾蜍碎片,集齐足够数量，就可以在图鉴中兑换蓝蟾蜍,,2,,16,0,4,35;90,,,1536,,,,,,,,,,,,,,,,,,
601541,宝包茧碎片,集齐足够数量，就可以在图鉴中兑换宝包茧,,2,,16,0,4,35;90,,,1541,,,,,,,,,,,,,,,,,,
601565,肋骨海龟碎片,集齐足够数量，就可以在图鉴中兑换肋骨海龟,,2,,16,0,4,35;90,,,1565,,,,,,,,,,,,,,,,,,
601572,泡沫栗鼠碎片,集齐足够数量，就可以在图鉴中兑换泡沫栗鼠,,2,,16,0,4,35;90,,,1572,,,,,,,,,,,,,,,,,,
601598,坚果哑铃碎片,集齐足够数量，就可以在图鉴中兑换坚果哑铃,,2,,16,0,4,35;90,,,1598,,,,,,,,,,,,,,,,,,
601608,灯火幽灵碎片,集齐足够数量，就可以在图鉴中兑换灯火幽灵,,2,,16,0,4,35;90,,,1608,,,,,,,,,,,,,,,,,,
601463,大舌舔碎片,集齐足够数量，就可以在图鉴中兑换大舌舔,,2,,16,0,4,35;90,,,1463,,,,,,,,,,,,,,,,,,
601585,四季鹿碎片,集齐足够数量，就可以在图鉴中兑换四季鹿,,2,,16,0,4,35;90,,,1585,,,,,,,,,,,,,,,,,,
601680,双剑鞘碎片,集齐足够数量，就可以在图鉴中兑换双剑鞘,,2,,16,0,4,35;90,,,1680,,,,,,,,,,,,,,,,,,
601698,冰雪龙碎片,集齐足够数量，就可以在图鉴中兑换冰雪龙,,2,,16,0,4,35;90,,,1698,,,,,,,,,,,,,,,,,,
601279,大嘴鸥碎片,集齐足够数量，就可以在图鉴中兑换大嘴鸥,,2,,16,0,4,35;90,,,1279,,,,,,,,,,,,,,,,,,
601286,斗笠菇碎片,集齐足够数量，就可以在图鉴中兑换斗笠菇,,2,,16,0,4,35;90,,,1286,,,,,,,,,,,,,,,,,,
601451,钳尾蝎碎片,集齐足够数量，就可以在图鉴中兑换钳尾蝎,,2,,16,0,4,35;90,,,1451,,,,,,,,,,,,,,,,,,
601517,食梦梦碎片,集齐足够数量，就可以在图鉴中兑换食梦梦,,2,,16,0,4,35;90,,,1517,,,,,,,,,,,,,,,,,,
601528,心蝙蝠碎片,集齐足够数量，就可以在图鉴中兑换心蝙蝠,,2,,16,0,4,35;90,,,1528,,,,,,,,,,,,,,,,,,
601544,车轮球碎片,集齐足够数量，就可以在图鉴中兑换车轮球,,2,,16,0,4,35;90,,,1544,,,,,,,,,,,,,,,,,,
601552,混混鳄碎片,集齐足够数量，就可以在图鉴中兑换混混鳄,,2,,16,0,4,35;90,,,1552,,,,,,,,,,,,,,,,,,
601554,火红不倒翁碎片,集齐足够数量，就可以在图鉴中兑换火红不倒翁,,2,,16,0,4,35;90,,,1554,,,,,,,,,,,,,,,,,,
601559,滑滑小子碎片,集齐足够数量，就可以在图鉴中兑换滑滑小子,,2,,16,0,4,35;90,,,1559,,,,,,,,,,,,,,,,,,
601570,索罗亚碎片,集齐足够数量，就可以在图鉴中兑换索罗亚,,2,,16,0,4,35;90,,,1570,,,,,,,,,,,,,,,,,,
601575,哥德小童碎片,集齐足够数量，就可以在图鉴中兑换哥德小童,,2,,16,0,4,35;90,,,1575,,,,,,,,,,,,,,,,,,
601581,舞天鹅碎片,集齐足够数量，就可以在图鉴中兑换舞天鹅,,2,,16,0,4,35;90,,,1581,,,,,,,,,,,,,,,,,,
601583,多多冰碎片,集齐足够数量，就可以在图鉴中兑换多多冰,,2,,16,0,4,35;90,,,1583,,,,,,,,,,,,,,,,,,
601591,败露球菇碎片,集齐足够数量，就可以在图鉴中兑换败露球菇,,2,,16,0,4,35;90,,,1591,,,,,,,,,,,,,,,,,,
601594,保姆曼波碎片,集齐足够数量，就可以在图鉴中兑换保姆曼波,,2,,16,0,4,35;90,,,1594,,,,,,,,,,,,,,,,,,
601629,秃鹰丫头碎片,集齐足够数量，就可以在图鉴中兑换秃鹰丫头,,2,,16,0,4,35;90,,,1629,,,,,,,,,,,,,,,,,,
601631,熔蚁兽碎片,集齐足够数量，就可以在图鉴中兑换熔蚁兽,,2,,16,0,4,35;90,,,1631,,,,,,,,,,,,,,,,,,
601977,黑夜拉达碎片,集齐足够数量，就可以在图鉴中兑换黑夜拉达,,2,,16,0,4,35;90,,,1977,,,,,,,,,,,,,,,,,,
601979,冰雪穿山王碎片,集齐足够数量，就可以在图鉴中兑换冰雪穿山王,,2,,16,0,4,35;90,,,1979,,,,,,,,,,,,,,,,,,
601981,黑猫老大碎片,集齐足够数量，就可以在图鉴中兑换黑猫老大,,2,,16,0,4,35;90,,,1981,,,,,,,,,,,,,,,,,,
601985,迷之嘎拉嘎拉碎片,集齐足够数量，就可以在图鉴中兑换迷之嘎拉嘎拉,,2,,16,0,4,35;90,,,1985,,,,,,,,,,,,,,,,,,
601783,鳞甲龙碎片,集齐足够数量，就可以在图鉴中兑换鳞甲龙,,2,,16,0,4,35;90,,,1783,,,,,,,,,,,,,,,,,,
601705,黏美儿碎片,集齐足够数量，就可以在图鉴中兑换黏美儿,,2,,16,0,4,35;90,,,1705,,,,,,,,,,,,,,,,,,
601720,胡帕碎片,集齐足够数量，就可以在图鉴中兑换胡帕,,2,,16,0,4,35;90,,,1720,,,,,,,,,,,,,,,,,,
601723,投羽枭碎片,集齐足够数量，就可以在图鉴中兑换投羽枭,,2,,16,0,4,35;90,,,1723,,,,,,,,,,,,,,,,,,
601726,炎热喵碎片,集齐足够数量，就可以在图鉴中兑换炎热喵,,2,,16,0,4,35;90,,,1726,,,,,,,,,,,,,,,,,,
601729,花漾海狮碎片,集齐足够数量，就可以在图鉴中兑换花漾海狮,,2,,16,0,4,35;90,,,1729,,,,,,,,,,,,,,,,,,
601150,超梦碎片,集齐足够数量，就可以在图鉴中兑换超梦,,6,,16,0,4,35,,,1150,,,,,,,,,,,,,,,,,,
601151,梦幻碎片,集齐足够数量，就可以在图鉴中兑换梦幻,,6,,16,0,4,35,,,1151,,,,,,,,,,,,,,,,,,
601249,洛奇亚碎片,集齐足够数量，就可以在图鉴中兑换洛奇亚,,6,,16,0,4,35,,,1249,,,,,,,,,,,,,,,,,,
601250,凤王碎片,集齐足够数量，就可以在图鉴中兑换凤王,,6,,16,0,4,35,,,1250,,,,,,,,,,,,,,,,,,
601251,雪拉比碎片,集齐足够数量，就可以在图鉴中兑换雪拉比,,6,,16,0,4,35,,,1251,,,,,,,,,,,,,,,,,,
601382,海皇牙碎片,集齐足够数量，就可以在图鉴中兑换海皇牙,,6,,16,0,4,35,,,1382,,,,,,,,,,,,,,,,,,
601383,固拉多碎片,集齐足够数量，就可以在图鉴中兑换固拉多,,6,,16,0,4,35,,,1383,,,,,,,,,,,,,,,,,,
601384,烈空坐碎片,集齐足够数量，就可以在图鉴中兑换烈空座,,6,,16,0,4,35,,,1384,,,,,,,,,,,,,,,,,,
601385,基拉祈碎片,集齐足够数量，就可以在图鉴中兑换基拉祈,,6,,16,0,4,35,,,1385,,,,,,,,,,,,,,,,,,
601486,雷吉奇卡斯碎片,集齐足够数量，就可以在图鉴中兑换雷吉奇卡斯,,6,,16,0,4,35,,,1486,,,,,,,,,,,,,,,,,,
601488,克雷色利亚碎片,集齐足够数量，就可以在图鉴中兑换克雷色利亚,,6,,16,0,4,35,,,1488,,,,,,,,,,,,,,,,,,
601491,达克莱伊碎片,集齐足够数量，就可以在图鉴中兑换达克莱伊,,6,,16,0,4,35,,,1491,,,,,,,,,,,,,,,,,,
601492,谢米碎片,集齐足够数量，就可以在图鉴中兑换谢米,,6,,16,0,4,35,,,1492,,,,,,,,,,,,,,,,,,
601493,阿尔宙斯碎片,集齐足够数量，就可以在图鉴中兑换阿尔宙斯,,6,,16,0,4,35,,,1493,,,,,,,,,,,,,,,,,,
601643,莱希拉姆碎片,集齐足够数量，就可以在图鉴中兑换莱希拉姆,,6,,16,0,4,35,,,1643,,,,,,,,,,,,,,,,,,
601644,捷克罗姆碎片,集齐足够数量，就可以在图鉴中兑换捷克罗姆,,6,,16,0,4,35,,,1644,,,,,,,,,,,,,,,,,,
601649,盖诺赛克特碎片,集齐足够数量，就可以在图鉴中兑换盖诺赛克特,,6,,16,0,4,35,,,1649,,,,,,,,,,,,,,,,,,
601716,哲尔尼亚斯碎片,集齐足够数量，就可以在图鉴中兑换哲尔尼亚斯,,6,,16,0,4,35,,,1716,,,,,,,,,,,,,,,,,,
601717,伊裴尔塔尔碎片,集齐足够数量，就可以在图鉴中兑换伊裴尔塔尔,,6,,16,0,4,35,,,1717,,,,,,,,,,,,,,,,,,
601791,索尔迦雷欧碎片,集齐足够数量，就可以在图鉴中兑换索尔迦雷欧,,6,,16,0,4,35,,,1791,,,,,,,,,,,,,,,,,,
601793,虚吾伊德碎片,集齐足够数量，就可以在图鉴中兑换虚吾伊德,,7,,16,0,4,35,,,1793,,,,,,,,,,,,,,,,,,
601794,爆肌蚊碎片,集齐足够数量，就可以在图鉴中兑换爆肌蚊,,7,,16,0,4,35,,,1794,,,,,,,,,,,,,,,,,,
601795,费洛美螂碎片,集齐足够数量，就可以在图鉴中兑换费洛美螂,,7,,16,0,4,35,,,1795,,,,,,,,,,,,,,,,,,
601796,电束木碎片,集齐足够数量，就可以在图鉴中兑换电束木,,7,,16,0,4,35,,,1796,,,,,,,,,,,,,,,,,,
601797,铁火辉夜碎片,集齐足够数量，就可以在图鉴中兑换铁火辉夜,,7,,16,0,4,35,,,1797,,,,,,,,,,,,,,,,,,
601798,纸御剑碎片,集齐足够数量，就可以在图鉴中兑换纸御剑,,7,,16,0,4,35,,,1798,,,,,,,,,,,,,,,,,,
601799,恶食大王碎片,集齐足够数量，就可以在图鉴中兑换恶食大王,,7,,16,0,4,35,,,1799,,,,,,,,,,,,,,,,,,
601800,奈克洛兹玛碎片,集齐足够数量，就可以在图鉴中兑换奈克洛兹玛,,7,,16,0,4,35,,,1800,,,,,,,,,,,,,,,,,,
601811,暗·闪电鸟,集齐足够数量，就可以在图鉴中兑换暗·闪电鸟,,7,,16,0,4,35,,,1811,,,,,,,,,,,,,,,,,,
601812,暗·火焰鸟,集齐足够数量，就可以在图鉴中兑换暗·火焰鸟,,7,,16,0,4,35,,,1812,,,,,,,,,,,,,,,,,,
601813,暗·雷公,集齐足够数量，就可以在图鉴中兑换暗·雷公,,7,,16,0,4,35,,,1813,,,,,,,,,,,,,,,,,,
601487,骑拉帝纳碎片,集齐足够数量，就可以在图鉴中兑换骑拉帝纳,,6,,16,0,4,35,,,1487,,,,,,,,,,,,,,,,,,
601646,酋雷姆碎片,集齐足够数量，就可以在图鉴中兑换酋雷姆,,6,,16,0,4,35,,,1646,,,,,,,,,,,,,,,,,,
601718,基格尔德碎片,集齐足够数量，就可以在图鉴中兑换基格尔德,,6,,16,0,4,35,,,1718,,,,,,,,,,,,,,,,,,
601719,蒂安希碎片,集齐足够数量，就可以在图鉴中兑换蒂安希,,6,,16,0,4,35,,,1719,,,,,,,,,,,,,,,,,,
601792,露奈雅拉碎片,集齐足够数量，就可以在图鉴中兑换露奈雅拉,,6,,16,0,4,35,,,1792,,,,,,,,,,,,,,,,,,
601975,水晶大钢蛇,集齐足够数量，就可以在图鉴中兑换水晶大钢蛇,,4,,16,0,4,35,,,1975,,,,,,,,,,,,,,,,,,
601647,凯路迪欧碎片,集齐足够数量，就可以在图鉴中兑换凯路迪欧,,6,,16,0,4,35,,,1647,,,,,,,,,,,,,,,,,,
601801,玛机雅娜,集齐足够数量，就可以在图鉴中兑换玛机雅娜,,6,,16,0,4,35,,,1801,,,,,,,,,,,,,,,,,,
601802,玛夏多,集齐足够数量，就可以在图鉴中兑换玛夏多,,7,,16,0,4,35,,,1802,,,,,,,,,,,,,,,,,,
601803,毒贝比,集齐足够数量，就可以在图鉴中兑换毒贝比,,7,,16,0,4,35,,,1803,,,,,,,,,,,,,,,,,,
601804,四颚针龙,集齐足够数量，就可以在图鉴中兑换四颚针龙,,7,,16,0,4,35,,,1804,,,,,,,,,,,,,,,,,,
601805,垒磊石,集齐足够数量，就可以在图鉴中兑换垒磊石,,7,,16,0,4,35,,,1805,,,,,,,,,,,,,,,,,,
601806,砰头小丑,集齐足够数量，就可以在图鉴中兑换砰头小丑,,7,,16,0,4,35,,,1806,,,,,,,,,,,,,,,,,,
601814,帝牙卢卡,集齐足够数量，就可以在图鉴中兑换帝牙卢卡,,6,,16,0,4,35,,,1814,,,,,,,,,,,,,,,,,,
601815,帕路奇亚,集齐足够数量，就可以在图鉴中兑换帕路奇亚,,6,,16,0,4,35,,,1815,,,,,,,,,,,,,,,,,,
631718,超·基格尔德碎片,集齐足够数量，就可以在图鉴中兑换超·基格尔德,,6,,16,0,4,35,,,301718,,,,,,,,,,,,,,,,,,
601213,壶壶碎片,集齐足够数量，就可以在图鉴中兑换壶壶,,3,,16,0,4,35;90,,,1213,,,,,,,,,,,,,,,,,,
601272,乐天河童碎片,集齐足够数量，就可以在图鉴中兑换乐天河童,,3,,16,0,4,35;90,,,1272,,,,,,,,,,,,,,,,,,
601450,河马兽碎片,集齐足够数量，就可以在图鉴中兑换河马兽,,3,,16,0,4,35;90,,,1450,,,,,,,,,,,,,,,,,,
601469,远古巨蜓碎片,集齐足够数量，就可以在图鉴中兑换远古巨蜓,,3,,16,0,4,35;90,,,1469,,,,,,,,,,,,,,,,,,
601476,大朝北鼻碎片,集齐足够数量，就可以在图鉴中兑换大朝北鼻,,3,,16,0,4,35;90,,,1476,,,,,,,,,,,,,,,,,,
601508,长毛狗碎片,集齐足够数量，就可以在图鉴中兑换长毛狗,,3,,16,0,4,35;90,,,1508,,,,,,,,,,,,,,,,,,
601526,庞岩怪碎片,集齐足够数量，就可以在图鉴中兑换庞岩怪,,3,,16,0,4,35;90,,,1526,,,,,,,,,,,,,,,,,,
601615,几何雪花碎片,集齐足够数量，就可以在图鉴中兑换几何雪花,,3,,16,0,4,35;90,,,1615,,,,,,,,,,,,,,,,,,
601620,师父鼬碎片,集齐足够数量，就可以在图鉴中兑换师父鼬,,3,,16,0,4,35;90,,,1620,,,,,,,,,,,,,,,,,,
601205,佛烈托斯碎片,集齐足够数量，就可以在图鉴中兑换佛烈托斯,,3,,16,0,4,35;90,,,1205,,,,,,,,,,,,,,,,,,
601204,榛果球碎片,集齐足够数量，就可以在图鉴中兑换榛果球,,2,,16,0,4,35;90,,,1204,,,,,,,,,,,,,,,,,,
601271,莲帽小童碎片,集齐足够数量，就可以在图鉴中兑换莲帽小童,,2,,16,0,4,35;90,,,1271,,,,,,,,,,,,,,,,,,
601449,沙河马碎片,集齐足够数量，就可以在图鉴中兑换沙河马,,2,,16,0,4,35;90,,,1449,,,,,,,,,,,,,,,,,,
601299,朝北鼻碎片,集齐足够数量，就可以在图鉴中兑换朝北鼻,,2,,16,0,4,35;90,,,1299,,,,,,,,,,,,,,,,,,
601507,哈约克碎片,集齐足够数量，就可以在图鉴中兑换哈约克,,2,,16,0,4,35;90,,,1507,,,,,,,,,,,,,,,,,,
601525,地幔岩碎片,集齐足够数量，就可以在图鉴中兑换地幔岩,,2,,16,0,4,35;90,,,1525,,,,,,,,,,,,,,,,,,
601619,功夫鼬碎片,集齐足够数量，就可以在图鉴中兑换功夫鼬,,2,,16,0,4,35;90,,,1619,,,,,,,,,,,,,,,,,,
601014,铁壳蛹碎片,集齐足够数量，就可以在图鉴中兑换铁壳蛹,,2,,16,0,4,35;90,,,1014,,,,,,,,,,,,,,,,,,
601017,比比鸟碎片,集齐足够数量，就可以在图鉴中兑换比比鸟,,2,,16,0,4,35;90,,,1017,,,,,,,,,,,,,,,,,,
601061,蚊香蛙碎片,集齐足够数量，就可以在图鉴中兑换蚊香蛙,,2,,16,0,4,35;90,,,1061,,,,,,,,,,,,,,,,,,
601102,蛋蛋碎片,集齐足够数量，就可以在图鉴中兑换蛋蛋,,2,,16,0,4,35;90,,,1102,,,,,,,,,,,,,,,,,,
601188,毽子花碎片,集齐足够数量，就可以在图鉴中兑换毽子花,,2,,16,0,4,35;90,,,1188,,,,,,,,,,,,,,,,,,
601095,大岩蛇碎片,集齐足够数量，就可以在图鉴中兑换大岩蛇,,2,,16,0,4,35;90,,,1095,,,,,,,,,,,,,,,,,,
601231,小小象碎片,集齐足够数量，就可以在图鉴中兑换小小象,,2,,16,0,4,35;90,,,1231,,,,,,,,,,,,,,,,,,
601296,幕下力士碎片,集齐足够数量，就可以在图鉴中兑换幕下力士,,2,,16,0,4,35;90,,,1296,,,,,,,,,,,,,,,,,,
601322,呆火驼碎片,集齐足够数量，就可以在图鉴中兑换呆火驼,,2,,16,0,4,35;90,,,1322,,,,,,,,,,,,,,,,,,
601333,青绵鸟碎片,集齐足够数量，就可以在图鉴中兑换青绵鸟,,2,,16,0,4,35;90,,,1333,,,,,,,,,,,,,,,,,,
601349,丑丑鱼碎片,集齐足够数量，就可以在图鉴中兑换丑丑鱼,,2,,16,0,4,35;90,,,1349,,,,,,,,,,,,,,,,,,
601415,三蜜蜂碎片,集齐足够数量，就可以在图鉴中兑换三蜜蜂,,2,,16,0,4,35;90,,,1415,,,,,,,,,,,,,,,,,,
601447,利欧路碎片,集齐足够数量，就可以在图鉴中兑换利欧路,,2,,16,0,4,35;90,,,1447,,,,,,,,,,,,,,,,,,
601548,百合根娃娃碎片,集齐足够数量，就可以在图鉴中兑换百合根娃娃,,2,,16,0,4,35;90,,,1548,,,,,,,,,,,,,,,,,,
601613,喷嚏熊碎片,集齐足够数量，就可以在图鉴中兑换喷嚏熊,,2,,16,0,4,35;90,,,1613,,,,,,,,,,,,,,,,,,
601627,毛头小鹰碎片,集齐足够数量，就可以在图鉴中兑换毛头小鹰,,2,,16,0,4,35;90,,,1627,,,,,,,,,,,,,,,,,,
601636,燃烧虫碎片,集齐足够数量，就可以在图鉴中兑换燃烧虫,,2,,16,0,4,35;90,,,1636,,,,,,,,,,,,,,,,,,
601037,六尾碎片,集齐足够数量，就可以在图鉴中兑换六尾,,2,,16,0,4,35;90,,,1037,,,,,,,,,,,,,,,,,,
601129,鲤鱼王碎片,集齐足够数量，就可以在图鉴中兑换鲤鱼王,,2,,16,0,4,35;90,,,1129,,,,,,,,,,,,,,,,,,
601983,寒冰六尾碎片,集齐足够数量，就可以在图鉴中兑换寒冰六尾,,2,,16,0,4,35;90,,,1983,,,,,,,,,,,,,,,,,,
601132,百变怪碎片,集齐足够数量，就可以在图鉴中兑换百变怪,,2,,16,0,4,35;90,,,1132,,,,,,,,,,,,,,,,,,
601288,过动猿碎片,集齐足够数量，就可以在图鉴中兑换过动猿,,2,,16,0,4,35;90,,,1288,,,,,,,,,,,,,,,,,,
601294,吼爆弹碎片,集齐足够数量，就可以在图鉴中兑换吼爆弹,,2,,16,0,4,35;90,,,1294,,,,,,,,,,,,,,,,,,
601331,刺球仙人掌碎片,集齐足够数量，就可以在图鉴中兑换刺球仙人掌,,2,,16,0,4,35;90,,,1331,,,,,,,,,,,,,,,,,,
601341,龙虾小兵碎片,集齐足够数量，就可以在图鉴中兑换龙虾小兵,,2,,16,0,4,35;90,,,1341,,,,,,,,,,,,,,,,,,
601347,太古羽虫碎片,集齐足够数量，就可以在图鉴中兑换太古羽虫,,2,,16,0,4,35;90,,,1347,,,,,,,,,,,,,,,,,,
601397,姆克鸟碎片,集齐足够数量，就可以在图鉴中兑换姆克鸟,,2,,16,0,4,35;90,,,1397,,,,,,,,,,,,,,,,,,
601404,勒克猫碎片,集齐足够数量，就可以在图鉴中兑换勒克猫,,2,,16,0,4,35;90,,,1404,,,,,,,,,,,,,,,,,,
601408,头盖龙碎片,集齐足够数量，就可以在图鉴中兑换头盖龙,,2,,16,0,4,35;90,,,1408,,,,,,,,,,,,,,,,,,
601200,梦妖碎片,集齐足够数量，就可以在图鉴中兑换梦妖,,2,,16,0,4,35;90,,,1200,,,,,,,,,,,,,,,,,,
601198,黑暗鸦碎片,集齐足够数量，就可以在图鉴中兑换黑暗鸦,,2,,16,0,4,35;90,,,1198,,,,,,,,,,,,,,,,,,
601436,铜镜怪碎片,集齐足够数量，就可以在图鉴中兑换铜镜怪,,2,,16,0,4,35;90,,,1436,,,,,,,,,,,,,,,,,,
601453,不良蛙碎片,集齐足够数量，就可以在图鉴中兑换不良蛙,,2,,16,0,4,35;90,,,1453,,,,,,,,,,,,,,,,,,
601207,天蝎碎片,集齐足够数量，就可以在图鉴中兑换天蝎,,2,,16,0,4,35;90,,,1207,,,,,,,,,,,,,,,,,,
601233,3D龙 Ⅱ碎片,集齐足够数量，就可以在图鉴中兑换3D龙 Ⅱ,,2,,16,0,4,35;90,,,1233,,,,,,,,,,,,,,,,,,
601522,斑斑马碎片,集齐足够数量，就可以在图鉴中兑换斑斑马,,2,,16,0,4,35;90,,,1522,,,,,,,,,,,,,,,,,,
601529,螺钉地鼠碎片,集齐足够数量，就可以在图鉴中兑换螺钉地鼠,,2,,16,0,4,35;90,,,1529,,,,,,,,,,,,,,,,,,
601566,始祖小鸟碎片,集齐足够数量，就可以在图鉴中兑换始祖小鸟,,2,,16,0,4,35;90,,,1566,,,,,,,,,,,,,,,,,,
601578,双卵细胞球碎片,集齐足够数量，就可以在图鉴中兑换双卵细胞球,,2,,16,0,4,35;90,,,1578,,,,,,,,,,,,,,,,,,
601595,电电虫碎片,集齐足够数量，就可以在图鉴中兑换电电虫,,2,,16,0,4,35;90,,,1595,,,,,,,,,,,,,,,,,,
601600,齿轮组碎片,集齐足够数量，就可以在图鉴中兑换齿轮组,,2,,16,0,4,35;90,,,1600,,,,,,,,,,,,,,,,,,
601603,麻麻鳗碎片,集齐足够数量，就可以在图鉴中兑换麻麻鳗,,2,,16,0,4,35;90,,,1603,,,,,,,,,,,,,,,,,,
601624,驹刀小兵碎片,集齐足够数量，就可以在图鉴中兑换驹刀小兵,,2,,16,0,4,35;90,,,1624,,,,,,,,,,,,,,,,,,
601104,卡拉卡拉碎片,集齐足够数量，就可以在图鉴中兑换卡拉卡拉,,2,,16,0,4,35;90,,,1104,,,,,,,,,,,,,,,,,,
601533,铁骨土人碎片,集齐足够数量，就可以在图鉴中兑换铁骨土人,,2,,16,0,4,35;90,,,1533,,,,,,,,,,,,,,,,,,
601083,大葱鸭碎片,集齐足够数量，就可以在图鉴中兑换大葱鸭,,2,,16,0,4,35;90,,,1083,,,,,,,,,,,,,,,,,,
601235,图图犬碎片,集齐足够数量，就可以在图鉴中兑换图图犬,,2,,16,0,4,35;90,,,1235,,,,,,,,,,,,,,,,,,
601289,请假王碎片,集齐足够数量，就可以在图鉴中兑换请假王,,3,,16,0,4,35;90,,,1289,,,,,,,,,,,,,,,,,,
601297,铁掌力士碎片,集齐足够数量，就可以在图鉴中兑换铁掌力士,,3,,16,0,4,35;90,,,1297,,,,,,,,,,,,,,,,,,
601311,正电拍拍碎片,集齐足够数量，就可以在图鉴中兑换正电拍拍,,2,,16,0,4,35;90,,,1311,,,,,,,,,,,,,,,,,,
601312,负电拍拍碎片,集齐足够数量，就可以在图鉴中兑换负电拍拍,,2,,16,0,4,35;90,,,1312,,,,,,,,,,,,,,,,,,
601332,梦歌仙人掌碎片,集齐足够数量，就可以在图鉴中兑换梦歌仙人掌,,3,,16,0,4,35;90,,,1332,,,,,,,,,,,,,,,,,,
601342,铁螯龙虾碎片,集齐足够数量，就可以在图鉴中兑换铁螯龙虾,,3,,16,0,4,35;90,,,1342,,,,,,,,,,,,,,,,,,
601405,伦琴猫碎片,集齐足够数量，就可以在图鉴中兑换伦琴猫,,3,,16,0,4,35;90,,,1405,,,,,,,,,,,,,,,,,,
