天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1341,20,3;900102|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1341,25,1;3184506|1;1173006|1;1055006,1;500000|12102;50|6;500,0.02,1,0
1341,30,2;1049;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1341,35,3;900102|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1342,20,3;900102|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1342,25,1;3184506|1;1173006|1;1055006,1;500000|12102;50|6;500,0.02,1,0
1342,30,2;1049;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1342,35,3;900102|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1342,40,1;2157008|1;2093008|1;4024008,1;5000000|12102;220|6;5000,0.08,3,1
1343,20,3;900101|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1343,25,1;1085506|1;3044006|1;1131506,1;500000|12127;50|6;500,0.02,1,0
1343,30,2;1048|2;1020|2;1043,1;1000000|12127;90|6;1000,0.03,2,0
1344,20,3;900101|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1344,25,1;1085506|1;3044006|1;1131506,1;500000|12127;50|6;500,0.02,1,0
1344,30,2;1048;1|2;1020;1|2;1043;1,1;1000000|12127;90|6;1000,0.03,2,0
1344,35,3;900103|3;900303|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1345,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1345,25,1;1185506|1;3085506|1;4144506,1;500000|12103;50|6;500,0.02,1,0
1345,30,2;1010;1|2;1021;1|2;1042;1,1;1000000|12103;90|6;1000,0.03,2,0
1345,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1346,20,3;900101|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1346,25,1;1185506|1;3085506|1;4144506,1;500000|12103;50|6;500,0.02,1,0
1346,30,2;1010;2|2;1021;2|2;1042;2,1;1000000|12103;90|6;1000,0.03,2,0
1346,35,3;900103|3;900303|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1346,40,1;3187008|1;1088508|1;3147008,1;5000000|12103;220|6;5000,0.08,3,1
1347,20,3;900102|3;900401|3;900001,1;200000|12125;20|6;200,0.01,1,0
1347,25,1;3154006|1;1015506|1;1044006,1;500000|12125;50|6;500,0.02,1,0
1347,30,2;1022|2;1015|2;1027,1;1000000|12125;90|6;1000,0.03,2,0
1347,35,3;900102|3;900303|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1348,20,3;900102|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1348,25,1;3154006|1;1015506|1;1044006,1;500000|12125;50|6;500,0.02,1,0
1348,30,2;1022|2;1015|2;1027,1;1000000|12125;90|6;1000,0.03,2,0
1348,35,3;900102|3;900403|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1348,40,1;4078008|1;2135008|1;2172508,1;5000000|12125;220|6;5000,0.08,3,1
1349,20,3;900101|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1349,25,1;4044506|1;4074006|1;1022506,1;500000|12102;50|6;500,0.02,1,0
1349,30,2;1049|2;1017|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1350,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1350,25,1;4044506|1;4074006|1;1022506,1;500000|12102;50|6;500,0.02,1,0
1350,30,2;1049;2|2;1017;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
1350,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1350,40,1;4048508|1;2078508|1;2027508,1;5000000|12102;220|6;5000,0.08,3,1
1354,20,3;900101|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1354,25,1;1055006|1;1183006|1;3085506,1;500000|12108;50|6;500,0.02,1,0
1354,30,2;1001;2|2;1017;2|2;1027;2,1;1000000|12108;90|6;1000,0.03,2,0
1354,35,3;900102|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1354,40,1;3054508|1;1184508|1;1082008,1;5000000|12108;220|6;5000,0.08,3,1
1355,20,3;900101|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1355,25,1;1054006|1;1184506|1;1082506,1;500000|12108;50|6;500,0.02,1,0
1355,30,2;1054|2;1017|2;1042,1;1000000|12108;90|6;1000,0.03,2,0
1356,20,3;900101|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1356,25,1;1054006|1;1184506|1;1082506,1;500000|12108;50|6;500,0.02,1,0
1356,30,2;1054;1|2;1017;1|2;1042;1,1;1000000|12108;90|6;1000,0.03,2,0
1356,35,3;900102|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1357,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1357,25,1;2062506|1;4015506|1;2032506,1;500000|12103;50|6;500,0.02,1,0
1357,30,2;1031;2|2;1019;2|2;1044;2,1;1000000|12103;90|6;1000,0.03,2,0
1357,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1357,40,1;2061508|1;2016008|1;4034508,1;5000000|12103;220|6;5000,0.08,3,1
1359,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1359,25,1;1013506|1;3154506|1;3055006,1;500000|12105;50|6;500,0.02,1,0
1359,30,2;1010;2|2;1015;2|2;1036;2,1;1000000|12105;90|6;1000,0.03,2,0
1359,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1359,40,1;3015508|1;3157508|1;1052008,1;5000000|12105;220|6;5000,0.08,3,1
1361,20,3;900101|3;900201|3;900001,1;200000|12107;20|6;200,0.01,1,0
1361,25,1;1132506|1;1144506|1;1075006,1;500000|12107;50|6;500,0.02,1,0
1361,30,2;1046;1|2;1018;1|2;1042;1,1;1000000|12107;90|6;1000,0.03,2,0
1361,35,3;900102|3;900203|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1362,20,3;900101|3;900201|3;900001,1;200000|12107;20|6;200,0.01,1,0
1362,25,1;1132506|1;1144506|1;1075006,1;500000|12107;50|6;500,0.02,1,0
1362,30,2;1046;2|2;1018;2|2;1042;2,1;1000000|12107;90|6;1000,0.03,2,0
1362,35,3;900102|3;900203|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1362,40,1;3138008|1;1148008|1;1072508,1;5000000|12107;220|6;5000,0.08,3,1
1363,20,3;900201|3;900301|3;900001,1;200000|12107;20|6;200,0.01,1,0
1363,25,1;2153506|1;2073506|1;2024006,1;500000|12107;50|6;500,0.02,1,0
1363,30,2;1005|2;1019|2;1036,1;1000000|12107;90|6;1000,0.03,2,0
1364,20,3;900201|3;900301|3;900001,1;200000|12107;20|6;200,0.01,1,0
1364,25,1;2153506|1;2073506|1;2024006,1;500000|12107;50|6;500,0.02,1,0
1364,30,2;1005;1|2;1019;1|2;1036;1,1;1000000|12107;90|6;1000,0.03,2,0
1364,35,3;900202|3;900402|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1365,20,3;900201|3;900301|3;900001,1;200000|12107;20|6;200,0.01,1,0
1365,25,1;2153506|1;2073506|1;2024006,1;500000|12107;50|6;500,0.02,1,0
1365,30,2;1005;2|2;1019;2|2;1036;2,1;1000000|12107;90|6;1000,0.03,2,0
1365,35,3;900202|3;900402|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1365,40,1;4156508|1;4074508|1;2026508,1;5000000|12107;220|6;5000,0.08,3,1
1371,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1371,25,1;3105506|1;1124006|1;3125506,1;500000|12106;50|6;500,0.02,1,0
1371,30,2;1010|2;1020|2;1026,1;1000000|12106;90|6;1000,0.03,2,0
1372,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1372,25,1;3105506|1;1124006|1;3125506,1;500000|12106;50|6;500,0.02,1,0
1372,30,2;1010;1|2;1020;1|2;1026;1,1;1000000|12106;90|6;1000,0.03,2,0
1372,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1373,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1373,25,1;3105506|1;1124006|1;3125506,1;500000|12106;50|6;500,0.02,1,0
1373,30,2;1010;2|2;1020;2|2;1026;2,1;1000000|12106;90|6;1000,0.03,2,0
1373,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1373,40,1;1103508|1;1124008|1;1067508,1;5000000|12106;220|6;5000,0.08,3,1
1374,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1374,25,1;3145506|1;1055006|1;3164006,1;500000|12128;50|6;500,0.02,1,0
1374,30,2;1004|2;1020|2;1036,1;1000000|12128;90|6;1000,0.03,2,0
1375,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1375,25,1;3145506|1;1055006|1;3164006,1;500000|12128;50|6;500,0.02,1,0
1375,30,2;1004;1|2;1020;1|2;1036;1,1;1000000|12128;90|6;1000,0.03,2,0
1375,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1376,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1376,25,1;3145506|1;1055006|1;3164006,1;500000|12128;50|6;500,0.02,1,0
1376,30,2;1004;2|2;1020;2|2;1036;2,1;1000000|12128;90|6;1000,0.03,2,0
1376,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1376,40,1;1148008|1;1058508|1;1162008,1;5000000|12128;220|6;5000,0.08,3,1
1377,20,3;900105|3;900305|3;900005,1;200000|12125;20|6;200,0.01,1,0
1377,25,1;3135506|1;1185506|1;1143006,1;500000|12125;50|6;500,0.02,1,0
1377,30,2;1024;4|2;1015;4|2;1036;4,1;1000000|12125;90|6;1000,0.03,2,0
1377,35,3;900106|3;900306|3;900508,1;2000000|12125;150|6;2000,0.04,2,0
1377,40,1;1136009|1;1181509|1;1145009,1;5000000|12125;220|6;5000,0.08,3,1
1377,45,2;1013;4|2;1021;4|2;1043;4,1;12000000|12125;320|6;12000,0.12,4,2
1377,50,3;900108|3;900308|3;900008,1;25000000|12125;500|6;25000,0.2,5,3
1378,20,3;900205|3;900405|3;900005,1;200000|12107;20|6;200,0.01,1,0
1378,25,1;2165506|1;4024006|1;2072006,1;500000|12107;50|6;500,0.02,1,0
1378,30,2;1005;4|2;1017;4|2;1027;4,1;1000000|12107;90|6;1000,0.03,2,0
1378,35,3;900207|3;900407|3;900508,1;2000000|12107;150|6;2000,0.04,2,0
1378,40,1;4167509|1;4027009|1;4077009,1;5000000|12107;220|6;5000,0.08,3,1
1378,45,2;1014;4|2;1021;4|2;1044;4,1;12000000|12107;320|6;12000,0.12,4,2
1378,50,3;900208|3;900408|3;900008,1;25000000|12107;500|6;25000,0.2,5,3
1379,20,3;900105|3;900305|3;900005,1;200000|12128;20|6;200,0.01,1,0
1379,25,1;3014006|1;1134006|1;1172506,1;500000|12128;50|6;500,0.02,1,0
1379,30,2;1004;4|2;1020;4|2;1026;4,1;1000000|12128;90|6;1000,0.03,2,0
1379,35,3;900106|3;900306|3;900508,1;2000000|12128;150|6;2000,0.04,2,0
1379,40,1;1015509|1;1134509|1;3176509,1;5000000|12128;220|6;5000,0.08,3,1
1379,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12128;320|6;12000,0.12,4,2
1379,50,3;900108|3;900308|3;900008,1;25000000|12128;500|6;25000,0.2,5,3
1380,20,3;900201|3;900401|3;900001,1;200000|12106;20|6;200,0.01,1,0
1380,25,1;2125506|1;4104006|1;2064006,1;500000|12106;50|6;500,0.02,1,0
1380,30,2;1029;2|2;1021;2|2;1042;2,1;1000000|12106;90|6;1000,0.03,2,0
1380,35,3;900203|3;900403|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1380,40,1;2128009|1;2102509|1;2067509,1;5000000|12106;220|6;5000,0.08,3,1
1380,45,2;1013;2|2;1027;2|2;1045;2,1;12000000|12106;320|6;12000,0.12,4,2
1380,50,3;900208|3;900408|3;900008,1;25000000|12106;500|6;25000,0.2,5,3
1381,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1381,25,1;3125506|1;3104006|1;3064006,1;500000|12106;50|6;500,0.02,1,0
1381,30,2;1012;2|2;1020;2|2;1044;2,1;1000000|12106;90|6;1000,0.03,2,0
1381,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1381,40,1;3124009|1;1103009|1;1067009,1;5000000|12106;220|6;5000,0.08,3,1
1381,45,2;1014;2|2;1026;2|2;1045;2,1;12000000|12106;320|6;12000,0.12,4,2
1381,50,3;900108|3;900308|3;900008,1;25000000|12106;500|6;25000,0.2,5,3
1382,20,3;900209|3;900409|3;900009,1;200000|12102;20|6;200,0.01,1,0
1382,25,1;2072506|1;2162006|1;2142006,1;500000|12102;50|6;500,0.02,1,0
1382,30,2;1010;4|2;1020;4|2;1036;4,1;1000000|12102;90|6;1000,0.03,2,0
1382,35,3;900211|3;900411|3;900512,1;2000000|12102;150|6;2000,0.04,2,0
1382,40,1;2077509|1;2167009|1;4147009,1;5000000|12102;220|6;5000,0.08,3,1
1382,45,2;1011;4|2;1021;4|2;1043;4,1;12000000|12102;320|6;12000,0.12,4,2
1382,50,3;900212|3;900412|3;900012,1;25000000|12102;500|6;25000,0.2,5,3
1383,20,3;900109|3;900309|3;900009,1;200000|12124;20|6;200,0.01,1,0
1383,25,1;1012006|1;1154506|1;1091506,1;500000|12124;50|6;500,0.02,1,0
1383,30,2;1003;4|2;1020;4|2;1026;4,1;1000000|12124;90|6;1000,0.03,2,0
1383,35,3;900110|3;900310|3;900512,1;2000000|12124;150|6;2000,0.04,2,0
1383,40,1;1017009|1;1158509|1;3096009,1;5000000|12124;220|6;5000,0.08,3,1
1383,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12124;320|6;12000,0.12,4,2
1383,50,3;900112|3;900312|3;900012,1;25000000|12124;500|6;25000,0.2,5,3
1384,20,3;900109|3;900209|3;900009,1;200000|12106;20|6;200,0.01,1,0
1384,25,1;2051506|1;1112506|1;2121506,1;500000|12106;50|6;500,0.02,1,0
1384,30,2;1010;4|2;1020;4|2;1042;4,1;1000000|12106;90|6;1000,0.03,2,0
1384,35,3;900110|3;900211|3;900512,1;2000000|12106;150|6;2000,0.04,2,0
1384,40,1;3057509|1;2117009|1;3125009,1;5000000|12106;220|6;5000,0.08,3,1
1384,45,2;1014;4|2;1026;4|2;1045;4,1;12000000|12106;320|6;12000,0.12,4,2
1384,50,3;900112|3;900212|3;900012,1;25000000|12106;500|6;25000,0.2,5,3
1385,20,3;900109|3;900209|3;900009,1;200000|12128;20|6;200,0.01,1,0
1385,25,1;2092006|1;2101506|1;2162006,1;500000|12128;50|6;500,0.02,1,0
1385,30,2;1038;4|2;1021;4|2;1043;4,1;1000000|12128;90|6;1000,0.03,2,0
1385,35,3;900111|3;900210|3;900512,1;2000000|12128;150|6;2000,0.04,2,0
1385,40,1;9000709|1;2107509|1;3168009,1;5000000|12128;220|6;5000,0.08,3,1
1385,45,2;1014;4|2;1026;4|2;1045;4,1;12000000|12128;320|6;12000,0.12,4,2
1385,50,3;900112|3;900212|3;900012,1;25000000|12128;500|6;25000,0.2,5,3
1390,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1390,25,1;1101506|1;1013506|1;1155006,1;500000|12101;50|6;500,0.02,1,0
1390,30,2;1010|2;1018|2;1036,1;1000000|12101;90|6;1000,0.03,2,0
1391,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1391,25,1;1101506|1;1013506|1;1155006,1;500000|12101;50|6;500,0.02,1,0
1391,30,2;1010;1|2;1018;1|2;1036;1,1;1000000|12101;90|6;1000,0.03,2,0
1391,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1392,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1392,25,1;1101506|1;1013506|1;1155006,1;500000|12101;50|6;500,0.02,1,0
1392,30,2;1010;2|2;1018;2|2;1036;2,1;1000000|12101;90|6;1000,0.03,2,0
1392,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1392,40,1;1103008|1;1015008|1;1153508,1;5000000|12101;220|6;5000,0.08,3,1
1393,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1393,25,1;4075006|1;2134006|1;2172006,1;500000|12102;50|6;500,0.02,1,0
1393,30,2;1049|2;1019|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1394,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1394,25,1;4075006|1;2134006|1;2172006,1;500000|12102;50|6;500,0.02,1,0
1394,30,2;1049;1|2;1019;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1394,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1395,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1395,25,1;4075006|1;2134006|1;2172006,1;500000|12102;50|6;500,0.02,1,0
1395,30,2;1049;2|2;1019;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
1395,35,3;900203|3;900403|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1395,40,1;2072508|1;2135508|1;4174008,1;5000000|12102;220|6;5000,0.08,3,1
1396,20,3;900102|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1396,25,1;2013006|1;2042506|1;1092506,1;500000|12109;50|6;500,0.02,1,0
1396,30,2;1032|2;1020|2;1043,1;1000000|12109;90|6;1000,0.03,2,0
1397,20,3;900102|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1397,25,1;2013006|1;2042506|1;1092506,1;500000|12109;50|6;500,0.02,1,0
1397,30,2;1032|2;1020|2;1043,1;1000000|12109;90|6;1000,0.03,2,0
1397,35,3;900102|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1398,20,3;900102|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1398,25,1;2013006|1;2042506|1;1092506,1;500000|12109;50|6;500,0.02,1,0
1398,30,2;1032|2;1020|2;1043,1;1000000|12109;90|6;1000,0.03,2,0
1398,35,3;900102|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1398,40,1;1063508|1;1053508|1;1121508,1;5000000|12109;220|6;5000,0.08,3,1
1403,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1403,25,1;2135006|1;2012506|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1403,30,2;1053;2|2;1021;2|2;1015;2,1;1000000|12121;90|6;1000,0.03,2,0
1404,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1404,25,1;2135006|1;2012506|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1404,30,2;1053;2|2;1021;2|2;1015;2,1;1000000|12121;90|6;1000,0.03,2,0
1404,35,3;900102|3;900303|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1405,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1405,25,1;2135006|1;2012506|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1405,30,2;1053;2|2;1021;2|2;1015;2,1;1000000|12121;90|6;1000,0.03,2,0
1405,35,3;900102|3;900303|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1405,40,1;3156008|1;1134508|1;1107008,1;5000000|12121;220|6;5000,0.08,3,1
1408,20,3;900102|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1408,25,1;1011506|1;1135506|1;3144506,1;500000|12125;50|6;500,0.02,1,0
1408,30,2;1030;2|2;1020;2|2;1042;2,1;1000000|12125;90|6;1000,0.03,2,0
1408,35,3;900102|3;900403|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1409,20,3;900102|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1409,25,1;1011506|1;1135506|1;3144506,1;500000|12125;50|6;500,0.02,1,0
1409,30,2;1030;2|2;1020;2|2;1042;2,1;1000000|12125;90|6;1000,0.03,2,0
1409,35,3;900102|3;900403|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1409,40,1;3055508|1;1061508|1;3097508,1;5000000|12125;220|6;5000,0.08,3,1
1415,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1415,25,1;1124006|1;3184006|1;1184006,1;500000|12122;50|6;500,0.02,1,0
1415,30,2;1037;3|2;1019;3|2;1042;3,1;1000000|12122;90|6;1000,0.03,2,0
1416,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1416,25,1;1124006|1;3184006|1;1184006,1;500000|12122;50|6;500,0.02,1,0
1416,30,2;1037;3|2;1019;3|2;1042;3,1;1000000|12122;90|6;1000,0.03,2,0
1416,35,3;900102|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1416,40,1;1186008|1;3055508|1;1111508,1;5000000|12122;220|6;5000,0.08,3,1
1425,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1425,25,1;4165506|1;2084006|1;4124006,1;500000|12108;50|6;500,0.02,1,0
1425,30,2;1001;1|2;1018;1|2;1036;1,1;1000000|12108;90|6;1000,0.03,2,0
1425,35,3;900203|3;900403|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1426,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1426,25,1;4165506|1;2084006|1;4124006,1;500000|12108;50|6;500,0.02,1,0
1426,30,2;1001;2|2;1018;2|2;1036;2,1;1000000|12108;90|6;1000,0.03,2,0
1426,35,3;900203|3;900403|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1426,40,1;4166508|1;2088008|1;4127008,1;5000000|12108;220|6;5000,0.08,3,1
1427,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1427,25,1;3155506|1;1103006|1;3095006,1;500000|12109;50|6;500,0.02,1,0
1427,30,2;1030;1|2;1018;1|2;1042;1,1;1000000|12109;90|6;1000,0.03,2,0
1427,35,3;900103|3;900303|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1428,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1428,25,1;3155506|1;1103006|1;3095006,1;500000|12109;50|6;500,0.02,1,0
1428,30,2;1030;2|2;1018;2|2;1042;2,1;1000000|12109;90|6;1000,0.03,2,0
1428,35,3;900103|3;900303|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1428,40,1;1152008|1;1106008|1;3096008,1;5000000|12109;220|6;5000,0.08,3,1
1429,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1429,25,1;1054006|1;1184506|1;1082506,1;500000|12108;50|6;500,0.02,1,0
1429,30,2;1055;2|2;1018;2|2;1036;2,1;1000000|12108;90|6;1000,0.03,2,0
1429,35,3;900203|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1429,40,1;4054008|1;2163008|1;2087508,1;5000000|12108;220|6;5000,0.08,3,1
1430,20,3;900102|3;900401|3;900001,1;200000|12105;20|6;200,0.01,1,0
1430,25,1;4054506|1;4165506|1;2185506,1;500000|12105;50|6;500,0.02,1,0
1430,30,2;1032;1|2;1020;1|2;1043;1,1;1000000|12105;90|6;1000,0.03,2,0
1430,35,3;900102|3;900303|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1430,40,1;4166508|1;2088008|1;4127008,1;5000000|12105;220|6;5000,0.08,3,1
1434,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1434,25,1;3135506|1;3185506|1;1053506,1;500000|12129;50|6;500,0.02,1,0
1434,30,2;1055|2;1018|2;1044,1;1000000|12129;90|6;1000,0.03,2,0
1435,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1435,25,1;3135506|1;3185506|1;1053506,1;500000|12129;50|6;500,0.02,1,0
1435,30,2;1055;1|2;1018;1|2;1044;1,1;1000000|12129;90|6;1000,0.03,2,0
1435,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1436,20,3;900201|3;900401|3;900001,1;200000|12128;20|6;200,0.01,1,0
1436,25,1;2144006|1;4175506|1;2101506,1;500000|12128;50|6;500,0.02,1,0
1436,30,2;1007;3|2;1020;3|2;1036;3,1;1000000|12128;90|6;1000,0.03,2,0
1436,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1437,20,3;900102|3;900401|3;900001,1;200000|12128;20|6;200,0.01,1,0
1437,25,1;2144006|1;4175506|1;2101506,1;500000|12128;50|6;500,0.02,1,0
1437,30,2;1007;3|2;1020;3|2;1036;3,1;1000000|12128;90|6;1000,0.03,2,0
1437,35,3;900102|3;900303|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1437,40,1;2146508|1;2172508|1;2105508,1;5000000|12128;220|6;5000,0.08,3,1
1442,20,3;900101|3;900201|3;900001,1;200000|12108;20|6;200,0.01,1,0
1442,25,1;1183006|1;1082506|1;1053506,1;500000|12108;50|6;500,0.02,1,0
1442,30,2;1001;2|2;1018;2|2;1043;2,1;1000000|12108;90|6;1000,0.03,2,0
1442,35,3;900102|3;900203|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1442,40,1;1186008|1;3086008|1;3058008,1;5000000|12108;220|6;5000,0.08,3,1
1443,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1443,25,1;1152506|1;1112006|1;1131506,1;500000|12106;50|6;500,0.02,1,0
1443,30,2;1010|2;1020|2;1043,1;1000000|12106;90|6;1000,0.03,2,0
1444,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1444,25,1;1152506|1;1112006|1;1131506,1;500000|12106;50|6;500,0.02,1,0
1444,30,2;1010;1|2;1020;1|2;1043;1,1;1000000|12106;90|6;1000,0.03,2,0
1444,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1445,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1445,25,1;1152506|1;1112006|1;1131506,1;500000|12106;50|6;500,0.02,1,0
1445,30,2;1010;2|2;1020;2|2;1043;2,1;1000000|12106;90|6;1000,0.03,2,0
1445,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1445,40,1;3154508|1;1118008|1;1135008,1;5000000|12106;220|6;5000,0.08,3,1
1446,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1446,25,1;2154006|1;2013506|1;3095006,1;500000|12109;50|6;500,0.02,1,0
1446,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1446,35,3;900103|3;900303|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
